
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"53","true","true","2000","2","18","157.35258910187312","3.112","86.46581179051101","1.1768585233305413"
"57","true","true","2000","0","15","145.9663248565898","3.088","76.81154649098734","1.1408163074700315"
"58","true","true","2000","1","17","159.68658591095212","3.248","87.56244629561235","1.1798577274519633"
"59","true","true","2000","0","16","158.23582399019037","3.152","93.22731750733982","1.094388754962307"
"61","true","true","2000","1","16","149.01521973248995","3.12","81.82897478668268","1.1056626790478898"
"62","true","true","2000","3","18","147.37833674277508","3.184","89.9690509945146","1.1573685705219972"
"63","true","true","2000","1","17","157.05575610747962","3.216","89.12678273366502","1.123562892897941"
"60","true","true","2000","2","21","149.51747520766685","3.232","85.01694669311382","1.1797215654075128"
"64","true","true","2000","4","17","158.88047498414923","3.256","89.44036565949314","1.1540325665502855"
"65","true","true","2000","0","21","144.49516757398462","3.24","82.34031641289904","1.2281831031811816"
"66","true","true","2000","0","16","153.40393339494224","3.184","88.61739231341839","1.0365528288844092"
"68","true","true","2000","5","15","152.87526345026023","3.112","87.18638404155682","1.1422235765362139"
"69","true","true","2000","3","18","171.0744749566947","2.992","99.75328406823488","1.0679410058462366"
"70","true","true","2000","4","21","156.29881246113695","3.256","87.38649302913092","1.2412197654018007"
"67","true","true","2000","5","15","147.70646347020244","3.04","87.83876095724865","1.0969105940803123"
"71","true","true","2000","2","25","153.28724184177898","3.032","95.98820881601874","1.1260764595581787"
"72","true","true","2000","1","19","158.28765582543832","3.384","89.43344331515823","1.2469013803059301"
"73","true","true","2000","1","21","136.9084720111754","3.184","82.69185510349713","1.0670983062402082"
"75","true","true","2000","1","17","146.27636124060396","3.344","79.22723877143501","1.1829036495745149"
"76","true","true","2000","1","14","151.98974059488097","3.288","82.39862677639304","1.0552298518145904"
"77","true","true","2000","2","11","153.73833814727334","3.168","82.65038554340354","1.0883538285984484"
"78","true","true","2000","1","19","148.02922030074677","3.04","89.18544291429443","1.0895634879976068"
"74","true","true","2000","2","19","148.9496699111887","3.24","89.53937813147871","1.2150330122607915"
"79","true","true","2000","0","18","156.10187553027944","3.208","97.70506121461716","1.035870702573346"
